Model: cuboids_0.7_0
Mesh: TriangleMesh with 223016 points and 334524 triangles.
Camera Bounds: (0.005, 0.005, 0.02)
Start Point: [-0.33  0.1  -0.44]
Goal Point: [ 0.22 -0.16 -0.44]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 10.37 seconds
  Number of Paths: 100
  Average Path Length: 0.723
  Shortest Path Length: 0.65
  Longest Path Length: 0.92
  Path Length Std Dev: 0.04982971001320397
  Average Time Per Path: 0.10009999999999998 seconds
  Time Per Path Std Dev: 0.0009949874371066195 seconds

  Paths:
    Path 55: Length = 0.67 units, Duration = 5.06 seconds
    Path 56: Length = 0.67 units, Duration = 5.04 seconds
    Path 57: Length = 0.65 units, Duration = 5.06 seconds
    Path 58: Length = 0.66 units, Duration = 5.08 seconds
    Path 59: Length = 0.66 units, Duration = 5.06 seconds
    Path 60: Length = 0.63 units, Duration = 5.07 seconds
    Path 61: Length = 0.66 units, Duration = 5.03 seconds
    Path 62: Length = 0.66 units, Duration = 5.03 seconds
    Path 63: Length = 0.67 units, Duration = 5.09 seconds
    Path 64: Length = 0.67 units, Duration = 5.06 seconds
    Path 65: Length = 0.65 units, Duration = 5.04 seconds
    Path 66: Length = 0.66 units, Duration = 5.07 seconds
    Path 67: Length = 0.66 units, Duration = 5.02 seconds
    Path 68: Length = 0.66 units, Duration = 5.04 seconds
    Path 69: Length = 0.67 units, Duration = 5.07 seconds
    Path 70: Length = 0.66 units, Duration = 5.05 seconds
    Path 71: Length = 0.66 units, Duration = 5.05 seconds
    Path 72: Length = 0.66 units, Duration = 5.01 seconds
    Path 73: Length = 0.67 units, Duration = 5.04 seconds
    Path 74: Length = 0.63 units, Duration = 5.03 seconds
    Path 75: Length = 0.65 units, Duration = 5.07 seconds
    Path 76: Length = 0.65 units, Duration = 5.05 seconds
    Path 77: Length = 0.65 units, Duration = 5.05 seconds
    Path 78: Length = 0.65 units, Duration = 5.11 seconds
    Path 79: Length = 0.66 units, Duration = 5.06 seconds
    Path 80: Length = 0.67 units, Duration = 5.04 seconds
    Path 81: Length = 0.66 units, Duration = 5.02 seconds
    Path 82: Length = 0.66 units, Duration = 5.05 seconds
    Path 83: Length = 0.66 units, Duration = 5.04 seconds
    Path 84: Length = 0.66 units, Duration = 5.07 seconds
    Path 85: Length = 0.67 units, Duration = 5.03 seconds
    Path 86: Length = 0.66 units, Duration = 5.07 seconds
    Path 87: Length = 0.66 units, Duration = 5.07 seconds
    Path 88: Length = 0.67 units, Duration = 5.06 seconds
    Path 89: Length = 0.66 units, Duration = 5.05 seconds
    Path 90: Length = 0.65 units, Duration = 5.03 seconds
    Path 91: Length = 0.67 units, Duration = 5.02 seconds
    Path 92: Length = 0.66 units, Duration = 5.03 seconds
    Path 93: Length = 0.65 units, Duration = 5.06 seconds
    Path 94: Length = 0.67 units, Duration = 5.06 seconds
    Path 95: Length = 0.63 units, Duration = 5.04 seconds
    Path 96: Length = 0.66 units, Duration = 5.04 seconds
    Path 97: Length = 0.66 units, Duration = 5.03 seconds
    Path 98: Length = 0.66 units, Duration = 5.05 seconds
    Path 99: Length = 0.66 units, Duration = 5.06 seconds
    Path 100: Length = 0.66 units, Duration = 5.05 seconds

Planner: SPARS
  Status: Failed
  Error Message: None

Planner: SPARS2
  Status: Failed
  Error Message: Error occurred for planner SPARS2: 'NoneType' object is not callable

Planner: RRT
  Status: Successful
  Total Time Taken: 1.01 seconds
  Number of Paths: 100
  Average Path Length: 0.9420000000000001
